id,restaurant,name,description,price,category,is_veg,is_available,preparation_time_in_minutes,tags
dadbdcdd-ef01-2345-89ab-abcdef012345,f3f5328b-eef1-474c-b79b-9d1f342d2032,Chicken Manchurian,Spicy indo-chinese chicken,200.00,STARTER,False,True,20,"[""manchurian"",""spicy""]"
bdcdddee-f012-3456-9abc-bcdef0123456,f3f5328b-eef1-474c-b79b-9d1f342d2032,Chicken Noodles,Stir fried noodles,180.00,MAIN_COURSE,False,True,20,"[""noodles"",""chinese""]"
cdddeef0-0123-4567-abcd-cdef01234567,f3f5328b-eef1-474c-b79b-9d1f342d2032,Veg Fried Rice,Classic fried rice,160.00,RICE_AND_BIRYANI,True,True,20,"[""rice"",""veg""]"
ddeef0f1-1234-5678-bcde-def012345678,f3f5328b-eef1-474c-b79b-9d1f342d2032,Schezwan Rice,Spicy schezwan rice,190.00,RICE_AND_BIRYANI,True,True,20,"[""spicy"",""rice""]"
eef0f1f2-2345-6789-cdef-ef0123456789,f3f5328b-eef1-474c-b79b-9d1f342d2032,Hot and Sour Soup,Classic chinese soup,120.00,SOUPS,True,True,15,"[""soup"",""chinese""]"
f0f1f2f3-3456-789a-def0-f0123456789a,f3f5328b-eef1-474c-b79b-9d1f342d2032,Cold Coffee,Chilled coffee drink,100.00,BEVERAGES,True,True,10,"[""drink"",""cold""]"

f1f2f3f4-4567-89ab-def0-0123456789ab,206f7d70-9ba6-4b30-a1c2-9d878c323c9b,Tandoori Chicken,Clay oven roasted chicken,280.00,STARTER,False,True,30,"[""tandoor"",""starter""]"
f2f3f4f5-5678-9abc-ef01-123456789abc,206f7d70-9ba6-4b30-a1c2-9d878c323c9b,Paneer Tikka,Grilled paneer cubes,220.00,STARTER,True,True,25,"[""paneer"",""grill""]"
f3f4f5f6-6789-abcd-f012-23456789abcd,206f7d70-9ba6-4b30-a1c2-9d878c323c9b,Butter Chicken,Creamy chicken curry,280.00,MAIN_COURSE,False,True,30,"[""creamy"",""chicken""]"
f4f5f6f7-789a-bcde-0123-3456789abcde,206f7d70-9ba6-4b30-a1c2-9d878c323c9b,Dal Makhani,Rich lentil curry,200.00,MAIN_COURSE,True,True,25,"[""dal"",""veg""]"
f5f6f7f8-89ab-cdef-1234-456789abcdef,206f7d70-9ba6-4b30-a1c2-9d878c323c9b,Jeera Rice,Flavored cumin rice,150.00,RICE_AND_BIRYANI,True,True,20,"[""rice"",""jeera""]"
f6f7f8f9-9abc-def0-2345-56789abcdef0,206f7d70-9ba6-4b30-a1c2-9d878c323c9b,Tandoori Roti,Clay oven bread,40.00,BREADS,True,True,10,"[""roti"",""tandoor""]"
f7f8f9fa-abcd-ef01-3456-6789abcdef01,206f7d70-9ba6-4b30-a1c2-9d878c323c9b,Lemon Soda,Refreshing drink,70.00,BEVERAGES,True,True,10,"[""drink"",""lemon""]"

f8f9fafb-bcde-f012-4567-789abcdef012,13711d2b-7c5b-454b-b53c-65a13e98c0a1,Dal Fry,Simple dal curry,150.00,MAIN_COURSE,True,True,20,"[""dal"",""veg""]"
f9fafbfc-cdef-0123-5678-89abcdef0123,13711d2b-7c5b-454b-b53c-65a13e98c0a1,Veg Biryani,Vegetable dum biryani,220.00,RICE_AND_BIRYANI,True,True,30,"[""biryani"",""veg""]"
fafbfcfd-ef01-2345-6789-9abcdef01234,13711d2b-7c5b-454b-b53c-65a13e98c0a1,Curd Rice,South indian curd rice,120.00,RICE_AND_BIRYANI,True,True,15,"[""rice"",""curd""]"
fbfcfdfe-f012-3456-789a-abcdef012345,13711d2b-7c5b-454b-b53c-65a13e98c0a1,Masala Dosa,Crispy dosa with potato filling,140.00,MAIN_COURSE,True,True,20,"[""dosa"",""south""]"
fcfdfeff-0123-4567-89ab-bcdef0123456,13711d2b-7c5b-454b-b53c-65a13e98c0a1,Idli Sambar,Steamed idli with sambar,100.00,MAIN_COURSE,True,True,15,"[""idli"",""healthy""]"
fdfeff00-1234-5678-9abc-cdef01234567,13711d2b-7c5b-454b-b53c-65a13e98c0a1,Filter Coffee,Traditional coffee,60.00,BEVERAGES,True,True,10,"[""coffee"",""hot""]"
feff0001-2345-6789-abcd-def012345678,13711d2b-7c5b-454b-b53c-65a13e98c0a1,Gulab Jamun,Sweet dessert,90.00,DESSERTS,True,True,10,"[""sweet"",""dessert""]"

ff000102-3456-789a-bcde-ef0123456789,f2b7aef6-1733-4a59-bc75-84d1186c2ba9,Paneer Tikka Masala,Spicy paneer curry,240.00,MAIN_COURSE,True,True,25,"[""paneer"",""spicy""]"
00010203-4567-89ab-cdef-f0123456789a,f2b7aef6-1733-4a59-bc75-84d1186c2ba9,Chicken Korma,Rich chicken gravy,260.00,MAIN_COURSE,False,True,30,"[""chicken"",""gravy""]"
01020304-5678-9abc-def0-0123456789ab,f2b7aef6-1733-4a59-bc75-84d1186c2ba9,Butter Naan,Soft naan bread,40.00,BREADS,True,True,10,"[""bread"",""tandoor""]"
02030405-6789-abcd-ef01-123456789abc,f2b7aef6-1733-4a59-bc75-84d1186c2ba9,Tandoori Roti,Clay oven roti,30.00,BREADS,True,True,10,"[""roti"",""tandoor""]"
03040506-789a-bcde-f012-23456789abcd,f2b7aef6-1733-4a59-bc75-84d1186c2ba9,Jeera Rice,Cumin rice,150.00,RICE_AND_BIRYANI,True,True,20,"[""rice"",""jeera""]"
04050607-89ab-cdef-1234-456789abcdef,f2b7aef6-1733-4a59-bc75-84d1186c2ba9,Lassi,Sweet yogurt drink,80.00,BEVERAGES,True,True,10,"[""drink"",""sweet""]"
05060708-9abc-def0-2345-56789abcdef0,f2b7aef6-1733-4a59-bc75-84d1186c2ba9,Gulab Jamun,Classic dessert,90.00,DESSERTS,True,True,10,"[""sweet"",""dessert""]"
